country,count
Afghanistan,238
Albania,44
Algeria,86
American Samoa,16
Andorra,10
Angola,504
Argentina,758
Armenia,1374
Aruba,10
Australia,1351
Austria,659
Azerbaijan,58
Bahamas,31
Bahrain,31
Bangladesh,213
Barbados,13
Belarus,299
Belgium,1806
Belize,10
Benin,154
Bermuda,16
Bhutan,36
Bolivia,96
Bosnia and Herzegovina,192
Botswana,44
Brazil,2040
Brunei Darussalam,5
Bulgaria,305
Burkina Faso,38
Burundi,28
Cabo Verde,421
Cambodia,87
Cameroon,119
Canada,2987
Cayman Islands,2
Central African Republic,9
Chad,58
Channel Islands,5
Chile,349
China,4948
Colombia,4747
Comoros,1
Costa Rica,89
Cote d'Ivoire,127
Croatia,1692
Cuba,157
Curacao,44
Cyprus,45
Czechia,88
Denmark,155
Djibouti,15
Dominica,5
Dominican Republic,29
Ecuador,66
El Salvador,55
Equatorial Guinea,5
Eritrea,25
Estonia,287
Eswatini,10
Ethiopia,110
Faroe Islands,5
Fiji,68
Finland,542
France,12476
French Polynesia,8
Gabon,9
Gambia,13
Georgia,394
Germany,7626
Ghana,443
Gibraltar,34
Greece,216
Greenland,60
Grenada,8
Guam,30
Guatemala,4392
Guinea,145
Guinea-Bissau,20
Guyana,12
Haiti,60
Honduras,4029
Hong Kong SAR China,12
Hungary,343
Iceland,180
India,3150
Indonesia,29587
Iraq,357
Ireland,222
Isle of Man,4
Israel,1812
Italy,1591
Jamaica,4424
Japan,2460
Jordan,230
Kazakhstan,167
Kenya,205
Kiribati,9
North Korea,72
South Korea,1256
Kosovo,52
Kuwait,37
Kyrgyz Republic,1
Latvia,57
Lebanon,171
Lesotho,8
Liberia,104
Libya,52
Liechtenstein,4
Lithuania,58
Luxembourg,67
Madagascar,40
Malawi,45
Malaysia,158
Maldives,24
Mali,135
Malta,175
Marshall Islands,28
Mauritania,7
Mauritius,25
Mexico,8152
Moldova,40
Monaco,38
Mongolia,61
Montenegro,46
Morocco,202
Mozambique,40
Myanmar,85
Namibia,47
Nauru,5
Nepal,141
Netherlands,12433
New Caledonia,4
New Zealand,374
Nicaragua,16
Niger,93
Nigeria,857
North Macedonia,36
Norway,600
Oman,39
Pakistan,152
Palau,35
Panama,98
Papua New Guinea,31
Paraguay,17
Peru,806
Philippines,299
Poland,741
Portugal,912
Puerto Rico,80
Qatar,59
Romania,188
Russian Federation,2157
Rwanda,103
Samoa,4390
San Marino,2
Sao Tome and Principe,5
Saudi Arabia,119
Senegal,78
Serbia,321
Seychelles,5
Sierra Leone,79
Singapore,356
Slovenia,6860
Solomon Islands,33
Somalia,81
South Africa,632
South Sudan,109
Spain,1320
Sri Lanka,331
St. Lucia,6
Sudan,210
Suriname,124
Sweden,1252
Switzerland,2988
Syrian Arab Republic,4
Tajikistan,13
Tanzania,130
Thailand,398
Timor-Leste,15
Togo,27
Tonga,34
Trinidad and Tobago,4
Tunisia,151
Turkiye,81
Turkmenistan,8
Tuvalu,7
Uganda,184
Ukraine,2314
United Arab Emirates,190
United Kingdom,1277
United States,56543
Uruguay,313
Uzbekistan,24
Vanuatu,29
Viet Nam,36
West Bank and Gaza,1
Zambia,78
Zimbabwe,77
